ethic;;;; 道德規範,倫理;So there are still lots of unanswered questions about the ethics of moderation and anonymity;所以網路環境中，關於言論規範的準則和匿名性爭議仍待解答。
congregate;;;;(vt.)(vi.)(使)集合,(使)聚集(a.)集合在一起的,集體的;In other words: where there’s already lots of mean-spirited trolling, similar trolls will congregate.;換句話說，在那些充斥惡意朝諷酸文的板上，更容易聚集其他酸文。
vandal;;;;"汪達爾人;文化藝術的破壞者";Theory. This says that, for example, areas that have already been hit by vandals are;例如，已被暴徒打破一角的窗戶，
vicious;;;; (a.)邪惡的,墮落的,品性不端的,惡毒的,惡性的,有錯誤的;and avoid the worst kinds of cyber-bullies and the more vicious trolls?;而且還要防止不好的網路霸凌和各式的酸文?
sadistic;;;;(a.)虐待狂的,殘酷成性的;Of course, this doesn’t mean that all self-identified trolls are sadistic or narcissists.;當然，這不代表尋求自我認同的酸民就是虐待狂或自戀狂。
intuitive;;;; (a.)直覺的;These results may sound pretty intuitive, but it’s still interesting that there’s;這份結果看起來有些直觀，但仍有些値得探究的地方，像是
narcissism;;;; 自我陶醉,自戀
introjection;;;;投入;And one part of that is solipsistic introjection, which means you basically create a character;這便是「以我為中心的投射」，意思是你在心中爲網友創造了
solipsistic;;;;【哲】唯我論的;And one part of that is solipsistic introjection, which means you basically create a character;這便是「以我為中心的投射」，意思是你在心中爲網友創造了
instill;;;;(vt.)慢慢地灌輸;this also instills a sense of invisibility.;這也逐漸加強了「不可視性」，
dissociative;;;;(a.)使分離的,使遊離的;First, dissociative anonymity describes the ability to hide your true identity online.;第一點，「解離式匿名」形容在網路上隱藏你真實個性的能力，
disinhibition;;;;抑制解除
inhibition;;;; 禁止,禁制,壓抑;coined a term to describe the loosening of social inhibitions because of the anonymity;發明了一個新詞，形容因網路匿名文化而抵銷社會抑制效應，名為 :
griefer;;;;"Noun DJ /ˈɡrēfə/griefer noun; griefers plural noun; (in an online game or community) a person who harasses or deliberately provokes other players or members in order to spoil their enjoyment.a class of entrepreneurs is emerging who see griefers not just as an annoyance but as a potential source of lost revenue";-- like so-called griefers in online gaming communities.;像是愛在線上遊戲中搞破壞、騷擾其他人的玩家(griefer)。
irritate;;;; (vt.)激怒,使發怒,使不舒服,使發炎(vi.)引起不快;For example, some people who self-identify as trolls irritate others for the sake of a joke.;例如，有些酸民靠著惹惱網友當作玩笑以尋求自我認同- -
veteran;;;; 老手,退伍軍人,老兵,老樹(a.)老兵的,老練的,經驗豐富的
newbies;;;;"1. (1919–2006), English travel writer; full name George Eric Newby. Notable works: A Short Walk in the Hindu Kush (1958), A Traveller's Life (1982), and A Small Place in Italy (1994). ";Experienced users would go trolling for newbies, by asking overly naive questions, or by making;版上的老鳥會用一些方式來釣菜鳥，像是問一些太過簡單明白的問題，
disrupt;;;; (a.)分裂的,分散的(vt.)使分裂,使瓦解;posts an off-topic or inflammatory comment to disrupt an online conversation.;po了一則偏離主題的帖子或煽動性言論，目的是為了在網上挑起爭端。
inflammatory;;;; (a.)激動的,煽動的,炎症性的;posts an off-topic or inflammatory comment to disrupt an online conversation.;po了一則偏離主題的帖子或煽動性言論，目的是為了在網上挑起爭端。
troll;;;;(vi.)旋轉,輪唱,釣魚(vt.)使旋轉,輪唱,高唱,釣旋轉,輪唱,釣魚;Even its very own trolls.;像是網路酸民。
